R&D Spend,Administration,Marketing Spend,State,Profit
165349.2,136897.8,471784.1,New York,192261.83
162597.7,151377.59,443898.53,California,191792.06
153441.51,101145.55,407934.54,Florida,191050.39
144372.41,118671.85,383199.62,New York,182901.99
142107.34,91391.77,366168.42,Florida,166187.94
139490.97,184958.52,147854.83,New York,209047.07
145147.29,140767.0,260454.16,Florida,211625.15
168906.9,75779.67,326835.26,California,252440.47
141045.47,114860.28,352843.68,Florida,237440.75
120420.4,190534.4,178083.7,California,181314.33
78021.79,185785.12,239618.18,California,182749.72
134113.35,98640.83,170769.16,California,185239.44
195196.52,188913.5,265897.0,California,254362.01
111858.62,135445.59,414935.86,California,244316.44
176965.25,173800.07,326944.88,California,271742.74
56990.67,94331.47,149983.25,Florida,122076.39
175228.53,82655.03,185630.96,New York,211146.89
180009.41,131656.53,256864.26,California,221282.2
195661.11,180615.61,235233.99,New York,264622.56
149846.87,184604.03,488724.7,California,276625.39
114096.69,193317.83,356428.65,California,211101.67
95001.19,90520.27,262315.59,New York,188320.74
59237.75,68709.92,481280.88,California,186834.32
188236.15,116970.79,373229.57,New York,280349.19
94744.83,105165.12,392738.77,California,203044.63
98355.72,96007.19,335024.01,Florida,211962.1
117266.41,72836.13,128561.99,New York,183702.81
78111.08,56279.93,106449.3,New York,136462.24
95133.91,72593.78,414178.82,California,219541.36
192183.52,192724.79,178988.79,Florida,233470.26
127651.37,63710.03,140885.25,California,180730.54
71763.57,80643.79,296334.64,California,160951.66
170964.0,118253.26,291178.67,Florida,257451.42
135851.66,174485.3,299203.4,New York,218985.07
182630.26,98638.13,318626.26,New York,232585.87
152704.52,160685.11,230309.71,New York,231939.01
127938.32,157563.4,477856.08,Florida,247516.97
144001.92,115769.43,163346.55,New York,208281.84
79476.23,162917.55,335173.56,California,176010.73
134236.54,103992.84,474501.7,California,260584.78
61991.95,157115.33,294698.14,New York,155827.31
147407.92,141470.34,365210.91,Florida,258462.76
183468.52,162724.55,321899.82,California,272121.79
144881.6,50590.68,446023.26,New York,232529.06
152640.61,186989.84,344021.01,Florida,225972.22
141374.74,195158.91,396586.3,California,231981.01
189355.95,161126.19,411015.98,Florida,292454.81
108038.51,84147.35,446718.96,California,227856.55
97207.92,69583.97,145104.01,California,150360.53
101490.57,125899.89,342618.06,Florida,221699.83
